name;url;Company;Company_url;Posted_Time;Posted_Time_url;Alter_Name;Alter_Name_url;Vacancy_Place;Salary;Education_Degree;Vacancy_Time;Vacancy_Id;Skills__name;
;;;;;;;;;;;;27;biznesin inkişafı;
Bank sistemlərinin idarə edilməsi şöbəsinin Meneceri;https://busy.az/vacancy/120037/bank-sistemlerinin-idare-edilmesi-sobesinin-meneceri;Ziraat Bank Azərbaycan;https://busy.az/vacancy/120037/bank-sistemlerinin-idare-edilmesi-sobesinin-meneceri;31 gün əvvəl;https://busy.az/vacancy/120037/bank-sistemlerinin-idare-edilmesi-sobesinin-meneceri;İş elanı aktual deyil. Yeni vakansiyaları yoxlayın.;https://busy.az/vacancies;Bakı;Razılaşma yolu ilə;Ali (bakalavr);Tam ştat (full time);28;texniki dəstək;
;;;;;;;;;;;;28;proqram təminatı;
;;;;;;;;;;;;28;bank sistemləri;
;;;;;;;;;;;;28;PL/SQL;
;;;;;;;;;;;;28;programming;
;;;;;;;;;;;;28;software development;
Rəqəmsal sistemlərin inkişafı departamenti Aparıcı/ Baş Software Tester;https://busy.az/vacancy/119989/reqemsal-sistemlerin-inkisafi-departamenti-aparici-bas-software-tester;Rabitabank OJSC;https://busy.az/vacancy/119989/reqemsal-sistemlerin-inkisafi-departamenti-aparici-bas-software-tester;31 gün əvvəl;https://busy.az/vacancy/119989/reqemsal-sistemlerin-inkisafi-departamenti-aparici-bas-software-tester;İş elanı aktual deyil. Yeni vakansiyaları yoxlayın.;https://busy.az/vacancies;Bakı;16.02.2024;Razılaşma yolu ilə;Tam ştat (full time);29;Oracle;
;;;;;;;;;;;;29;C#;
;;;;;;;;;;;;29;software development;
;;;;;;;;;;;;29;programming;
;;;;;;;;;;;;29;proqramlaşdırma;
;;;;;;;;;;;;29;proqram təminatı;
Baş proqramçı (İOS üzrə);https://busy.az/vacancy/119988/bas-proqramci-ios-uzre;Rabitabank OJSC;https://busy.az/vacancy/119988/bas-proqramci-ios-uzre;31 gün əvvəl;https://busy.az/vacancy/119988/bas-proqramci-ios-uzre;İş elanı aktual deyil. Yeni vakansiyaları yoxlayın.;https://busy.az/vacancies;Bakı;16.02.2024;Razılaşma yolu ilə;Tam ştat (full time);30;software development;
;;;;;;;;;;;;30;programming;
;;;;;;;;;;;;30;iOS development;
;;;;;;;;;;;;30;mobile application;
;;;;;;;;;;;;30;программирование;
;;;;;;;;;;;;30;mobil tətbiq;
Rəqəmsal sistemlərin inkişafı Departamentində Aparıcı proqramçı;https://busy.az/vacancy/119982/reqemsal-sistemlerin-inkisafi-departamentinde-aparici-proqramci;Rabitabank OJSC;https://busy.az/vacancy/119982/reqemsal-sistemlerin-inkisafi-departamentinde-aparici-proqramci;31 gün əvvəl;https://busy.az/vacancy/119982/reqemsal-sistemlerin-inkisafi-departamentinde-aparici-proqramci;İş elanı aktual deyil. Yeni vakansiyaları yoxlayın.;https://busy.az/vacancies;Bakı;16.02.2024;Razılaşma yolu ilə;Tam ştat (full time);31;HTML;
;;;;;;;;;;;;31;SQL;
;;;;;;;;;;;;31;JSON;
;;;;;;;;;;;;31;proqramlaşdırma;
;;;;;;;;;;;;31;C#;
;;;;;;;;;;;;31;software development;
;;;;;;;;;;;;31;programming;
;;;;;;;;;;;;31;proqram təminatı;
